ID,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,P-Qs,Depth,Method,Block,Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,2,1,ebi,Equichlamys bifrons,Queen scallop,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,2,1,pha,Pagurixus handrecki,Handreck's hermit crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,2,1,fva,Forsterygion varium,Many-rayed threefin,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,2,1,pser,Palaemon serenus,Banded shrimp,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,2,1,pch,Plagusia chabrus,Red bait crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,0,1,ttr,Tursiops truncatus,Bottlenose dolphin,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,7.3,1,1,nfu,Notolabrus fucicola,Purple wrasse,3,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,7.3,1,1,pmu,Pempheris multiradiata,Common bullseye,11,0,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,7.3,1,1,lrh,Lotella rhacina,Beardie,2,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,7.3,1,1,nte,Notolabrus tetricus,Blue-throat wrasse,4,0,,,,,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,7.3,1,1,csp,Cheilodactylus spectabilis,Banded morwong,1,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,7.3,2,1,ctr,Cenolia trichoptera,Feather star,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,7.3,2,1,tun,Turbo undulatus,Turban shell,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,7.3,2,1,pch,Plagusia chabrus,Red bait crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,7.3,2,1,hru,Haliotis rubra,Blacklip abalone,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,YHF,LDR,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,7.3,2,1,cmu,Coscinasterias muricata,Eleven-arm star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,1,2,aar,Aplodactylus arctidens,Marblefish,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,1,2,pla,Pictilabrus laticlavius,Senator wrasse,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,1,2,csp,Cheilodactylus spectabilis,Banded morwong,3,0,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,1,2,oli,Ophthalmolepis lineolatus,Maori wrasse,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,1,2,prubi,Pseudolabrus rubicundus,Rosy wrasse,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,1,2,dni,Diodon nicthemerus,Globe fish,1,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,1,2,nte,Notolabrus tetricus,Blue-throat wrasse,3,0,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,1,2,cla,Cephaloscyllium laticeps,Draughtboard shark,2,0,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,1,2,mau,Meuschenia australis,Brown-striped leatherjacket,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,1,2,nfu,Notolabrus fucicola,Purple wrasse,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,7.3,1,2,pla,Pictilabrus laticlavius,Senator wrasse,1,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,7.3,1,2,csp,Cheilodactylus spectabilis,Banded morwong,1,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,7.3,1,2,prubi,Pseudolabrus rubicundus,Rosy wrasse,1,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,7.3,1,2,nte,Notolabrus tetricus,Blue-throat wrasse,1,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,7.3,1,2,cla,Cephaloscyllium laticeps,Draughtboard shark,3,0,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,7.3,1,2,mau,Meuschenia australis,Brown-striped leatherjacket,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,7.3,1,2,nfu,Notolabrus fucicola,Purple wrasse,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,2,2,cmu,Coscinasterias muricata,Eleven-arm star,1,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,2,2,ctr,Cenolia trichoptera,Feather star,100,0,,22,20,13,10,5,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,2,2,rau,Ranella australasia,Australian rock whelk,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,6.7,2,2,hru,Haliotis rubra,Blacklip abalone,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,7.3,2,2,ctr,Cenolia trichoptera,Feather star,185,0,,25,23,25,30,31,26,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,7.3,2,2,dor,Dicathais orbita,Dog whelk,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,LDR,YHF,TAS66,Waubs Bay Inner,-41.870553,148.302736,7/11/2022,7,NE,16:00,YHF,7.3,2,2,sstr,Strigopagurus strigimanus,Rasping hermit crab,3,0,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,1,2,aar,Aplodactylus arctidens,Marblefish,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,1,2,nfu,Notolabrus fucicola,Purple wrasse,5,0,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,1,2,csp,Cheilodactylus spectabilis,Banded morwong,2,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,1,2,nte,Notolabrus tetricus,Blue-throat wrasse,2,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,1,2,ear,Enoplosus armatus,Old wife,2,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,1,2,tca,Trachinops caudimaculatus,Hulafish,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,1,2,sli,Scorpis lineolata,Silver sweep,2,0,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,1,2,pla,Pictilabrus laticlavius,Senator wrasse,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,1,2,mce,Mugil cephalus,Sea mullet,3,0,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,1,2,dle,Dinolestes lewini,Long-fin pike,50,0,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,2,2,hru,Haliotis rubra,Blacklip abalone,43,0,,,21,17,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,2,2,her,Heliocidaris erythrogramma,Short-spined urchin,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,2,2,pser,Palaemon serenus,Banded shrimp,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,2,2,tun,Turbo undulatus,Turban shell,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,2,2,ctr,Cenolia trichoptera,Feather star,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,2,2,cro,Centrostephanus rodgersii,Long-spine urchin,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,0,2,pmi,Parma microlepis,White-ear,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,0,2,avi,Acanthaluteres vittiger,Toothbrush leatherjacket,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.7,1,2,aar,Aplodactylus arctidens,Marblefish,3,0,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.7,1,2,nfu,Notolabrus fucicola,Purple wrasse,8,0,,,,,,,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.7,1,2,dau,Dotalabrus aurantiacus,Castelnaus wrasse,1,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.7,1,2,csp,Cheilodactylus spectabilis,Banded morwong,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.7,1,2,nte,Notolabrus tetricus,Blue-throat wrasse,2,0,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.7,2,2,hru,Haliotis rubra,Blacklip abalone,35,0,,,3,10,9,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.7,2,2,her,Heliocidaris erythrogramma,Short-spined urchin,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.7,2,2,tun,Turbo undulatus,Turban shell,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.7,2,2,ctr,Cenolia trichoptera,Feather star,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.7,2,2,pha,Pagurixus handrecki,Handreck's hermit crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.7,0,2,avi,Acanthaluteres vittiger,Toothbrush leatherjacket,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,YHF,LDR,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.7,0,2,mau,Meuschenia australis,Brown-striped leatherjacket,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,LDR,YHF,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,1,1,hjo,Heteroclinus johnstoni,Johnstons weedfish,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,LDR,YHF,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,1,1,nte,Notolabrus tetricus,Blue-throat wrasse,3,0,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,LDR,YHF,YHF001,Binalong Bay Gulches,-41.248429,148.310565,7/11/2022,8,NE,12:00,YHF,5.6,1,1,ocy,Olisthops cyanomelas,Herring cale,1,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
